,Compound Score,Negative Score,Neutral Score,Positive Score,Source,Text,Tweets Ago
183,0.0,0.0,1.0,0.0,BBC,"""Who could survive this heat?"" 
Eddie Santiago returns to search for his family after the Guatemala volcano 🌋… https://t.co/GuW3Knrc7s",
184,-0.4767,0.279,0.721,0.0,BBC,Trump-Kim summit: S Korean reporters arrested over N Korea 'trespass' https://t.co/wanY1HqpZg,
185,0.0258,0.0,0.945,0.055,BBC,"Turkey is holding early elections so why does it matter? 🇹🤔
Here's the BBC's Turkey correspondent @marklowen on wha… https://t.co/s8deGwPfGA",
186,-0.4404,0.244,0.756,0.0,BBC,Austria to shut seven 'political' mosques and expel imams https://t.co/40EAL3221A,
187,0.0,0.0,1.0,0.0,BBC,Making food crops that feed themselves https://t.co/L4gtmnZYwq,
188,0.3612,0.0,0.839,0.161,BBC,"RT @BBC_HaveYourSay: ""My name is Michael Patterson, sir. Thank you for delivering me."" 

https://t.co/4ktgD2zmIx",
189,-0.5994,0.281,0.719,0.0,BBC,Tariffs and Trump: War of words ahead of G7 summit https://t.co/biWNYzibei,
190,-0.4019,0.129,0.815,0.056,BBC,"RT @BBCStreeter: France has banned mobile phones in schools, should other countries do the same? On #bbcbizlive ⁦⁦@BBCBusiness⁩ we want to…",
191,0.0,0.0,1.0,0.0,BBC,Australia indigenous treaties: Historic steps 'beginning of journey' https://t.co/xCgiEZ6arL,
192,-0.3818,0.206,0.794,0.0,BBC,Big fight to bring arm wrestling to South Africa's townships https://t.co/Fj7KlFhCN2,
193,0.5423,0.0,0.696,0.304,BBC,Trump-Kim summit: Can you achieve peace on a plate? https://t.co/N7eeTPsyH3,
194,0.0964,0.102,0.783,0.115,BBC,RT @BBCMaryam: French school kids are to be banned from using mobile phones on school grounds in France from Sept. Is this a good thing ? O…,
195,0.0,0.0,1.0,0.0,BBC,Doug Ford: Ex-Toronto mayor's brother set to be Ontario premier https://t.co/Te5Kj7pBl4,
196,0.2023,0.0,0.833,0.167,BBC,IMF agrees to loan up to $50bn for Argentina https://t.co/mE818MXK46,
197,0.0,0.0,1.0,0.0,BBC,Canada moves a step closer to legalising marijuana https://t.co/g31HAMjAqT,
198,0.0,0.0,1.0,0.0,BBC,"US to send 1,600 immigration detainees to federal prisons https://t.co/JisMU9COyf",
199,0.3182,0.0,0.897,0.103,BBC,US President Donald Trump said he would consider inviting North Korea's Kim Jong-un to the White House if their sum… https://t.co/Qux6rLCASx,
200,0.0,0.0,1.0,0.0,CBS,Best-selling vehicle ever making a comeback to U.S. https://t.co/CzgbOhJry2 https://t.co/cDFqBbYVGw,
201,-0.8225,0.432,0.568,0.0,CBS,"Racist, misogynistic messages show dark side of ""Star Wars"" fandom https://t.co/RG8Nq79JyV https://t.co/DJzWd6iOKU",
202,0.4019,0.0,0.876,0.124,CBS,"With production of the VW beetle coming to an end, a family hobby will help keep the infamous car running… https://t.co/rSzoEc3mH8",
203,0.1779,0.075,0.809,0.116,CBS,Russian President Vladimir Putin was caught delicately crafting dumplings Friday during his visit to China https://t.co/9ZmXwfkcH2,
204,0.0,0.0,1.0,0.0,CBS,"Trump departs for summit in Singapore, skipping G-7 environmental sessions https://t.co/FC1u9Ny5sK https://t.co/Veh2W3MFbE",
205,0.4019,0.0,0.881,0.119,CBS,The Afghan Taliban announced a 3-day cease-fire for the Eid al-Fitr holiday at the end of the holy month of Ramadan… https://t.co/NLq7Qc8XhW,
206,0.0,0.0,1.0,0.0,CBS,CBS correspondent David Begnaud reflects on Hurricane Maria coverage https://t.co/UebvutaUAL https://t.co/4td0QEKE22,
207,-0.5106,0.19,0.717,0.093,CBS,"""It is a myth that asking about suicide will cause someone to commit suicide"": Experts offer insight on interventio… https://t.co/C39yHeTW7Q",
208,0.0,0.0,1.0,0.0,CBS,"Salmonella outbreak linked to pre-cut melon, CDC says https://t.co/GMtu4dU8Dr https://t.co/johqZotKxx",
209,0.1531,0.089,0.789,0.121,CBS,"President Trump retracted his endorsement of the G7 final statement, accusing Canadian Prime Minister Justin Trudea… https://t.co/FRTU8K4Rnn",
210,0.3182,0.0,0.796,0.204,CBS,Trump retracts his endorsement of G7 final statement https://t.co/o1t0LY1dio https://t.co/2ll3I6lfMC,
211,0.0,0.0,1.0,0.0,CBS,"Electric cars are already here. Now, companies are looking to move the technology into another space: airplanes.… https://t.co/T10sEfg5Tp",
212,-0.7351,0.383,0.617,0.0,CBS,Anthony Bourdain’s death means loss of a voice for immigrant workers https://t.co/XR9rIRAIp3 https://t.co/7Cq0bRbWgq,
213,-0.0772,0.056,0.944,0.0,CBS,President Trump said it won't take long for him to tell if North Korean leader Kim Jong Un is serious about denucle… https://t.co/MM1ozFQocY,
214,-0.5859,0.242,0.758,0.0,CBS,Fire department issues warning about kids getting burned by garden hoses left in the sun https://t.co/26BU9veuDz https://t.co/P9MQ6pfCTF,
215,-0.1779,0.295,0.476,0.229,CBS,5 dangerous myths about Social Security https://t.co/GcxBxFGNsc https://t.co/Yw9A0upTPt,
216,0.0,0.0,1.0,0.0,CBS,"Andrew Lloyd Webber, iconic composer, reflects on his career and what makes a show endure https://t.co/yw9LYAJh82 https://t.co/7eOqGB13T0",
217,-0.1154,0.065,0.935,0.0,CBS,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/LbX3HrY2W6",
218,0.8176,0.0,0.681,0.319,CBS,"Justify wins the 150th Belmont Stakes, becoming the 13th horse in history to win the Triple Crown… https://t.co/hSAI2Li00E",
219,0.296,0.0,0.879,0.121,CBS,The family in charge of the Singapore hotel hosting the U.S.-North Korea summit shares Trump-like ambition… https://t.co/2CrEnrgTDN,
220,0.3818,0.0,0.894,0.106,CBS,"""A lot of people in Congress are focused on what's going to happen tomorrow, not what's going to happen in 2026"": T… https://t.co/iVUotZcDZB",
221,-0.6705,0.2,0.8,0.0,CBS,California Officials say wildfires last year that killed 15 are attributable to Pacific Gas &amp; Electric Co. equipmen… https://t.co/a50mKES8Ss,
222,-0.4767,0.14,0.86,0.0,CBS,The Category 4 hurricane brewing off the coast of Mexico and Baja California Sur will make for dangerous swells and… https://t.co/cWAlq5t2sx,
223,0.5719,0.0,0.85,0.15,CBS,Buildings in the Bay Area lit up blue and gold overnight as fans celebrated the Golden State @Warriors' third NBA c… https://t.co/ec26P3ueg3,
224,-0.5216,0.144,0.856,0.0,CBS,"Volkswagen's plan to end production of the iconic model won't change the love many owners have for their ""bugs""— or… https://t.co/rs7fn7GOJn",
225,-0.6369,0.189,0.811,0.0,CBS,"Toxic abuse has long been a staple of darker social-media realms, message boards and internet comments pages -- but… https://t.co/78lXrTPDdd",
226,0.2755,0.0,0.905,0.095,CBS,"Prince George may be Britain's future king, but his cousin Savannah Phillips isn't shy about telling him to quiet d… https://t.co/RWpQeA8K3b",
227,-0.3182,0.108,0.892,0.0,CBS,As this year's Puerto Rican Day Parade draws attention to the island's continued struggle in the wake of Hurricane… https://t.co/HulKjfBHpo,
228,-0.4939,0.158,0.842,0.0,CBS,A salmonella outbreak spanning eight states that infected 60 and hospitalized 31 has been connected to pre-cut melo… https://t.co/4YO6g3W7vD,
229,0.6369,0.0,0.856,0.144,CBS,"RT @CBSSunday: TOMORROW 

Jim Parsons, best known for his work in front of the camera on @bigbangtheory &amp; on the stage in the revival of @B…",
230,-0.5106,0.19,0.717,0.093,CBS,"""It is a myth that asking about suicide will cause someone to commit suicide"": Experts offer insight on interventio… https://t.co/cQwktOodtT",
231,-0.3182,0.155,0.845,0.0,CBS,"President Trump cut his G-7 attendance short to leave for the summit in Singapore, leaving other leaders to discuss… https://t.co/drnDIHeJK9",
232,-0.4019,0.212,0.671,0.117,CBS,"Shahab fled Iran after he was beaten and jailed for converting to Christianity. Now in the U.S., he’s free from all… https://t.co/0fctuXaeRS",
233,0.1779,0.075,0.809,0.116,CBS,Russian President Vladimir Putin was caught delicately crafting dumplings Friday during his visit to China https://t.co/beLeCP6unJ,
234,0.0,0.0,1.0,0.0,CBS,Doctors told her parents she likely wouldn't live long— then that she would never walk. This 19-year-old with cereb… https://t.co/SKziTGHEFj,
235,0.765,0.0,0.761,0.239,CBS,The 2018 Belmont Stakes is set to take place this evening -- and one horse is hoping to win the Triple Crown… https://t.co/lQDgMcPIPd,
236,0.0,0.0,1.0,0.0,CBS,"Ahead of the highly-anticipated summit with North Korea, @CBSEveningNews anchor @JeffGlor is in Singapore:… https://t.co/MnZjShPdgw",
237,0.0,0.0,1.0,0.0,CBS,"Electric cars are already here. Now, companies are looking to move the technology into another space: airplanes.… https://t.co/JhtJSzubZs",
238,0.0,0.0,1.0,0.0,CBS,RT @CBSThisMorning: .@TheTonyAwards are on @CBS tomorrow night! Here’s a look at some of the preparations ahead of Broadway’s biggest night…,
239,-0.0772,0.056,0.944,0.0,CBS,President Trump said it won't take long for him to tell if North Korean leader Kim Jong Un is serious about denucle… https://t.co/sKVAqhatkJ,
240,0.296,0.0,0.879,0.121,CBS,The family in charge of the Singapore hotel hosting the U.S.-North Korea summit shares Trump-like ambition… https://t.co/sDTZlDpuBg,
241,0.2732,0.135,0.674,0.192,CBS,"Top-ranked Simona Halep wins the #FrenchOpen by defeating Sloane Stephens 3-6, 6-4, 6-1 https://t.co/en40gwzJJT https://t.co/SHLFffYyEO",
242,-0.1154,0.065,0.935,0.0,CBS,"He risked his life, traveling thousands of miles to cross the U.S. border, but his journey is far from over. Stream… https://t.co/1CyQsRrk9D",
243,0.4019,0.0,0.881,0.119,CBS,The Afghan Taliban announced a 3-day cease-fire for the Eid al-Fitr holiday at the end of the holy month of Ramadan… https://t.co/CrcHIAuFe1,
244,0.0,0.0,1.0,0.0,CBS,"President Trump says he will ""know in the first minute"" whether North Korean leader Kim Jong Un is ""serious"" about… https://t.co/47Aqo1HEga",
245,0.5719,0.0,0.837,0.163,CBS,Prince Harry and Meghan Markle joined the pageantry of the annual Trooping the Color ceremony to celebrate Queen El… https://t.co/0YsALCVVNH,
246,0.0,0.0,1.0,0.0,CBS,WATCH: Take a look at how the coastline of Hawaii's Big Island has changed since the Kilauea volcano began erupting… https://t.co/MhZSAxyHnr,
247,-0.7096,0.289,0.608,0.103,CBS,4 U.S. service members who were wounded in an extremist attack in Somalia that killed one special operations soldie… https://t.co/bcEyYzRuJl,
248,-0.0772,0.056,0.944,0.0,CBS,"Reporter: How long do you think it will take you to figure out whether Kim Jong Un is serious?

President Trump: “I… https://t.co/OBU0BrL9qf",
249,0.0,0.0,1.0,0.0,CBS,"President Trump says the U.S. relationship with its allies ""is a 10"" following G-7 summit https://t.co/syywHUMwLG https://t.co/mtKO3vrHT7",
250,0.0,0.0,1.0,0.0,CBS,"""You know, Obama can say all he wants, but he allowed Russia to take Crimea. I may have had a much different attitu… https://t.co/E3sMsGuxnK",
251,0.0,0.0,1.0,0.0,CBS,"""Tariffs are going to come way down because we people cannot continue to do that,"" President Trump says. ""We are li… https://t.co/oU0EL8VFIN",
252,0.6597,0.0,0.803,0.197,CBS,"""I think it would be an asset to have Russia back in [the G-7]. I think it would be good for the world,"" President… https://t.co/SjvNCse3XM",
253,0.8214,0.0,0.735,0.265,CBS,"""I really feel confident. I feel that Kim Jong Un wants to do something great for his people, and he has that oppor… https://t.co/vife8VEUjx",
254,0.5423,0.0,0.877,0.123,CBS,"""I will be on a mission of peace, and we will carry in, really -- in my heart, we are going to be carrying the hear… https://t.co/kAORBwtI0w",
255,0.3818,0.0,0.847,0.153,CBS,"""We want and expect other nation to provide fair market access to American exports and that we will take whatever s… https://t.co/Ss7moC0GQc",
256,0.0,0.0,1.0,0.0,CBS,WATCH LIVE: President Trump delivers statement at G-7 summit as he prepares to head to Singapore for meeting with N… https://t.co/8ZKOqjf4qs,
257,-0.7269,0.264,0.736,0.0,CBS,"For more than a year, Florida failed to do national background checks that could have disqualified people from gain… https://t.co/hvt09tJdaV",
258,-0.5994,0.231,0.769,0.0,CBS,Can President Trump and Kim Jong Un end the 68-year-old Korean War? https://t.co/yJYhxdnN74 https://t.co/z54J6O7jJK,
259,-0.2263,0.112,0.888,0.0,CBS,Search teams have located the body of a woman who vanished Friday in a suspected alligator attack… https://t.co/wg7RX1ZqLv,
260,0.5106,0.0,0.784,0.216,CBS,"""Zero trust"" between U.S. and North Korea ahead of historic summit https://t.co/2bT4TFLoUf https://t.co/8VpZ7gHoRk",
261,-0.5106,0.216,0.784,0.0,CBS,"University offers $3,500 to get sick and stay in ""Hotel Influenza"" https://t.co/pHdAork3OW https://t.co/pnJwdLVXQE",
262,-0.0258,0.073,0.927,0.0,CBS,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/oQxTlSaIMO https://t.co/RPOft178nu",
263,-0.8481,0.479,0.521,0.0,CBS,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/P61Ja7u7kS https://t.co/1OI79KPaIj",
264,-0.6808,0.301,0.699,0.0,CBS,Former Senate Intel staffer accused of lying to FBI makes first court appearance https://t.co/Ci68UqgVxb https://t.co/tLQ2bY4iDB,
265,0.0,0.0,1.0,0.0,CBS,Teen escorted from U.S. by ICE slain soon after in Mexico: Report https://t.co/JWiopRQHMA https://t.co/QDGXtfRMjl,
266,0.0,0.0,1.0,0.0,CBS,Fox News' Charles Krauthammer says he has weeks to live https://t.co/4HPbRwLsAc https://t.co/wz1UiswLri,
267,-0.7579,0.481,0.519,0.0,CBS,Palestinians killed in protest near Israel-Gaza border https://t.co/DhtoKuJN9x https://t.co/qGbxFIUtK2,
268,-0.3182,0.204,0.796,0.0,CBS,Group photo masks underlying tension at G-7 summit https://t.co/gWeG8c22fI https://t.co/2Aqe8J9lyH,
269,0.5574,0.0,0.769,0.231,CBS,"Mom in ""affluenza"" case in Texas jail after positive drug test https://t.co/BdS7ls5VfD https://t.co/07u57WLNPp",
270,-0.5994,0.358,0.642,0.0,CBS,Stars react to Anthony Bourdain's death https://t.co/XaqFFj4SOP https://t.co/i6KvwcoZeI,
271,0.5859,0.0,0.648,0.352,CBS,$315M Powerball Jackpot winner comes forward https://t.co/ld8gpKWB2g https://t.co/MDyi8AsNCn,
272,0.6705,0.0,0.593,0.407,CBS,Former security chief for Senate Intelligence Committee indicted https://t.co/WWaotj7p68 https://t.co/XSkfk4QC4s,
273,-0.34,0.194,0.806,0.0,CBS,Teen's arrest prompts new use-of-force investigation for Mesa police https://t.co/AomCZUrMUq https://t.co/2NSzowvnSO,
274,0.0,0.0,1.0,0.0,CBS,Stormy Daniels' former attorney countersues https://t.co/CHACqidrrE https://t.co/j0JS2Q636P,
275,-0.1779,0.295,0.476,0.229,CBS,5 dangerous myths about Social Security https://t.co/L97dCCNTK4 https://t.co/nJTclEeU31,
276,-0.8126,0.375,0.625,0.0,CBS,"Suspect in fatal crash tells TV station: ""People hit and run people all the time"" https://t.co/ZUpGexiSHj https://t.co/ri9u6P6eBF",
277,-0.7096,0.33,0.67,0.0,CBS,High school valedictorian says mic was cut before speaking about sex assault https://t.co/VHy6P86iZW https://t.co/vr3OZuZ8NN,
278,-0.6486,0.264,0.736,0.0,CBS,Woman who led private investigator to stepson's decomposing remains found dead https://t.co/ifW3Y8NNWh https://t.co/fINIm2HenM,
279,-0.0258,0.073,0.927,0.0,CBS,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/dZbiYaOlNs https://t.co/nGg2JYkFQv",
280,-0.5106,0.216,0.784,0.0,CBS,"University offers $3,500 to get sick and stay in ""Hotel Influenza"" https://t.co/qmdxJHvro3 https://t.co/Ay5D1Hnrk9",
281,-0.8481,0.479,0.521,0.0,CBS,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/NSvhsLD5YS https://t.co/Es5pmEwguh",
282,-0.6124,0.308,0.692,0.0,CBS,"Asia Argento, girlfriend of Anthony Bourdain, ""beyond devastated"" https://t.co/iYY5HTPcVe https://t.co/twNUJmiCIp",
283,0.0,0.0,1.0,0.0,CBS,Fox News' Charles Krauthammer says he has weeks to live https://t.co/fbQ25GCArj https://t.co/7YOc4ptMl0,
284,0.296,0.0,0.845,0.155,CBS,"Researchers say they're on the verge of creating a revolutionary, non-addictive painkiller https://t.co/u9kM4XUWXI https://t.co/KJLneHl9Xg",
285,-0.7579,0.481,0.519,0.0,CBS,Palestinians killed in protest near Israel-Gaza border https://t.co/Gcf57qhHp6 https://t.co/yEeiclWjS0,
286,0.5574,0.0,0.723,0.277,CBS,"Trump says he may pardon Muhammad Ali, who does not need a pardon https://t.co/CSfrmCESau https://t.co/lEbE35xvkE",
287,-0.5994,0.358,0.642,0.0,CBS,Stars react to Anthony Bourdain's death https://t.co/ZAvjD1gHKv https://t.co/Xzyn9wv60j,
288,0.5574,0.0,0.769,0.231,CBS,"Mom in ""affluenza"" case in Texas jail after positive drug test https://t.co/Aryj6AEkAZ https://t.co/K39a1CtDfC",
289,-0.5574,0.205,0.795,0.0,CBS,Kate Spade's father said he spoke to her the night before she died https://t.co/hPhLaiRl9K https://t.co/xbutyk3sKb,
290,0.5859,0.0,0.648,0.352,CBS,$315M Powerball Jackpot winner comes forward https://t.co/EtmEQjQ1iD https://t.co/wzu4QQsb9J,
291,-0.34,0.194,0.806,0.0,CBS,Teen's arrest prompts new use-of-force investigation for Mesa police https://t.co/Ojn5ufeZQW https://t.co/P2IlJl7Y8v,
292,0.0,0.0,1.0,0.0,CBS,Stormy Daniels' former attorney countersues https://t.co/9TcJ8awSG0 https://t.co/Y7HjJ8RZAA,
293,-0.1779,0.295,0.476,0.229,CBS,5 dangerous myths about Social Security https://t.co/eJR8SNXxF6 https://t.co/bpF6XXuB01,
294,-0.7096,0.33,0.67,0.0,CBS,High school valedictorian says mic was cut before speaking about sex assault https://t.co/HPzGQvfP6v https://t.co/y4vjIuSSbB,
295,-0.6486,0.264,0.736,0.0,CBS,Woman who led private investigator to stepson's decomposing remains found dead https://t.co/tIzWD3pZII https://t.co/EylAtAJMjM,
296,-0.0258,0.073,0.927,0.0,CBS,"Gloria Williams sentenced for kidnapping newborn from hospital, raising child as her own https://t.co/vbyN5oULaN https://t.co/7WLUMDNYDH",
297,0.1531,0.157,0.657,0.187,CBS,"The Warriors defeated LeBron James and the Cavaliers 108-85, completing a perfect 4-0 sweep https://t.co/Byn9sLKXGL https://t.co/V4KNZy4IAt",
298,-0.6486,0.398,0.602,0.0,CBS,Woman missing after reported alligator attack in Florida https://t.co/GP0MEsucEt https://t.co/Bs3cVoxsSk,
299,-0.8481,0.479,0.521,0.0,CBS,"Mother, her boyfriend sentenced in boy's ""beyond animalistic"" child abuse death https://t.co/p2zYrsgywF https://t.co/rKKuaUzghZ",
300,0.6249,0.0,0.823,0.177,FOX,".@DarrellIssa: ""[@POTUS] has a great deal of common sense to know that everything we tried for 67 years doesn't wor… https://t.co/fYGu6PX2kk",
301,0.0772,0.0,0.936,0.064,FOX,".@DarrellIssa: ""One of the challenges that other presidents faced that [@POTUS] doesn't is they wanna be seen in hi… https://t.co/2SGKqO8TQB",
302,-0.8807,0.421,0.579,0.0,FOX,".@hogangidley45 on illegal immigrant crime statistics: ""The sad part is, these crimes are 100 percent preventable.… https://t.co/Z1nEuAnR2h",
303,-0.9305,0.464,0.536,0.0,FOX,".@hogangidley45 on illegal immigrant crime statistics: ""We are not getting the best of the best from these other co… https://t.co/Vlqp9bH3CE",
304,0.7964,0.0,0.664,0.336,FOX,".@hogangidley45 on @dennisrodman supporting @POTUS: ""[Dennis Rodman] knows what's best, I'll give him that, because… https://t.co/mTQsizi2LQ",
305,0.0,0.0,1.0,0.0,FOX,SUNDAY: @BretBaier is live in Singapore ahead of President @realDonaldTrump’s historic summit with North Korean lea… https://t.co/QHl8nHgfyM,
306,0.1935,0.153,0.662,0.185,FOX,".@hogangidley45: ""So many people on the Left hate this president more than they love this country.""  @JudgeJeanine https://t.co/UIkcGTklSc",
307,0.0,0.0,1.0,0.0,FOX,".@JudgeJeanine: ""@realDonaldTrump is bringing America back in front of our eyes and it's time for the unAmerican ha… https://t.co/LyLZpFj6Rn",
308,0.4019,0.0,0.787,0.213,FOX,Couple gets engaged at Trader Joe’s during ‘millennial grocery tour’ https://t.co/9NLYqzwzdz,
309,-0.34,0.195,0.684,0.121,FOX,".@realDonaldTrump slams Canadian PM as 'dishonest and weak,' pulls back on G-7 communique endorsement https://t.co/CyHjtR10cz",
310,0.3612,0.0,0.894,0.106,FOX,"Ahead of the North Korea summit, @VP Mike Pence said he assured Otto Warmbier's family that their son ""will not hav… https://t.co/wGvqt2XNnd",
311,-0.5106,0.231,0.769,0.0,FOX,"TSA searches 96-year-old woman in wheelchair in viral video, sparking outrage https://t.co/ruX7CBshrg",
312,0.3612,0.0,0.839,0.161,FOX,#Trump says US is like a 'piggy bank that everybody is robbing' on trade https://t.co/PK8qw7lxvW,
313,0.4939,0.0,0.833,0.167,FOX,".@RepMattGaetz: ""This is Donald Trump's America. It's the Trump economy, it's roaring. People are confident, busine… https://t.co/wZMGzvhYgi",
314,0.6369,0.0,0.741,0.259,FOX,".@RepMattGaetz: ""As Republicans, we love when @NancyPelosi talks about the economy."" @WattersWorld https://t.co/cCIxsAm8NV",
315,0.0,0.0,1.0,0.0,FOX,".@KellyannePolls: ""It's through the president's leadership and stewardship that @SecPompeo has been over to North K… https://t.co/CqUyx8gzuR",
316,0.0,0.0,1.0,0.0,FOX,".@KellyannePolls: ""[President @realDonaldTrump is] very open to differing opinions and viewpoints. He's a master ne… https://t.co/z7mDmPDjMi",
317,0.7964,0.0,0.693,0.307,FOX,Jockey Mike Smith celebrates atop of Justify after winning the coveted Triple Crown at the Belmont Stakes.… https://t.co/lUG6e16WfK,
318,-0.1531,0.103,0.897,0.0,FOX,SUNDAY: Don’t miss @FoxNewsSunday from Singapore ahead of President @realDonaldTrump’s historic meeting with North… https://t.co/cF2Y1xLD4Y,
319,-0.2263,0.095,0.905,0.0,FOX,".@jasonsehorn on national anthem protests: ""Their actual message of what they're trying to get across is being lost… https://t.co/KO4yaWJG4Y",
320,-0.3818,0.14,0.86,0.0,FOX,"Former @NFL player @JackBrewerBSI: ""We're all Americans. We're in the same family. Families fight, families quarrel… https://t.co/hswCr90kiS",
321,0.7845,0.0,0.653,0.347,FOX,OPINION: Justify’s Triple Crown win brings us together to admire an uncommonly gifted horse https://t.co/4nIf9mv4Wz,
322,-0.296,0.145,0.855,0.0,FOX,"Earlier, President @realDonaldTrump accused Canadian Prime Minister @JustinTrudeau of making ""false statements"" at… https://t.co/oUPeNM1BJv",
323,0.3612,0.0,0.815,0.185,FOX,.@VP reassures family of Otto Warmbier ahead of North Korea summit https://t.co/t0jwuWxjHx,
324,-0.5413,0.163,0.837,0.0,FOX,.@replouiegohmert: “Robert Mueller has done more damage during his 12 years as FBI director than… probably all the… https://t.co/u1rce2rGvi,
325,0.2263,0.0,0.909,0.091,FOX,"Nile Gardiner: ""You have protectionist tariffs on both sides of the Atlantic, from the United States but also from… https://t.co/5TM7aYOQhS",
326,0.5719,0.0,0.764,0.236,FOX,"BREAKING: Justify wins the Belmont Stakes, earning the coveted Triple Crown https://t.co/EEHEgMVywm https://t.co/vjiT9IgcDg",
327,-0.4019,0.144,0.856,0.0,FOX,"Nile Gardiner on tariff tensions: ""You have all the makings right now for a trade war."" https://t.co/iAdue9Nmav https://t.co/l3NIirukYK",
328,0.4019,0.0,0.769,0.231,FOX,Taliban announce cease-fire over Eid holiday for 1st time https://t.co/LCHkJcQMW3,
329,0.7003,0.0,0.766,0.234,FOX,".@VP on Otto Warmbier: ""Today I assured his dad as [@POTUS] said two days ago, their beloved son Otto Warmbier will… https://t.co/ZWPmRWK0Fj",
330,0.8238,0.0,0.688,0.312,FOX,".@VP on North Korea summit: ""So America, let's pray for [@POTUS] and let's pray for peace for the Korean people and… https://t.co/ODJl1K4kfh",
331,0.2755,0.0,0.869,0.131,FOX,".@VP on North Korea summit: ""We will not repeat the mistakes of the past."" https://t.co/vkdzKjHLD1",
332,0.7096,0.0,0.753,0.247,FOX,".@VP: ""As President @realDonaldTrump embarks on this historic quest for peace, I can assure you that he also goes w… https://t.co/0kzlNxMy53",
333,-0.5859,0.278,0.609,0.113,FOX,".@VP on Singapore summit: ""After years of failed policies and broken promises last year, President @realDonaldTrump… https://t.co/M1kPHystbo",
334,0.0,0.0,1.0,0.0,FOX,".@VP on North Korea summit: ""Our president is going into this summit with his eyes wide open."" https://t.co/wOy8M4d88p",
335,0.3182,0.0,0.881,0.119,FOX,".@VP on North Korea summit: ""The truth is, [@realDonaldTrump] has been preparing for this his whole life."" https://t.co/xe4EOjiKsK",
336,0.0,0.0,1.0,0.0,FOX,".@VP: ""[@POTUS] spent the last two days at the G7 summit in Canada putting America first."" https://t.co/tWO4i7PqEx",
337,0.6597,0.0,0.738,0.262,FOX,".@VP: ""I want to begin tonight by bringing greetings from a leader who's been delivering every day on his promise t… https://t.co/czUfsg6Edj",
338,0.7906,0.0,0.72,0.28,FOX,".@VP Mike Pence delivers keynote remarks at the close of the 2018 Faith &amp; Freedom Coalition ""Road to Majority."" https://t.co/JWcCBVCjx1",
339,0.5919,0.0,0.797,0.203,FOX,"TOMORROW: Don't miss a brand new ""Life, Liberty, &amp; Levin"" with @marklevinshow - Tune in at 10p ET on Fox News Chann… https://t.co/JloyPLb79c",
340,0.0,0.0,1.0,0.0,FOX,"SeaWorld getting rid of plastic straws, plastic bags at all US parks https://t.co/o5sCVFney1",
341,0.0,0.0,1.0,0.0,FOX,".@RCamposDuffy: ""Republicans and especially Republican women and Republican or conservative minorities have always… https://t.co/D6p9iIR1QB",
342,0.0,0.0,1.0,0.0,FOX,"Lou Holtz on @Eagles controversy: ""The locker room belongs to the players of the @NFL. They can say anything they w… https://t.co/n3NNBJA2O7",
343,0.7351,0.0,0.763,0.237,FOX,".@POTUS: ""The power to pardon is a beautiful thing. You got to get it right, you got to get the right people.""… https://t.co/kJoxSdfmxm",
344,0.0,0.0,1.0,0.0,FOX,OPINION: There's just one way to marry the right person (and anyone can do it) https://t.co/yqcYBoKZ8w,
345,0.0,0.0,1.0,0.0,FOX,".@Mark_Penn on the Mueller probe: ""I think our Constitution is being stepped on."" https://t.co/WU779vQZHl",
346,0.128,0.0,0.909,0.091,FOX,"Belmont Stakes' Triple Crown contender, start time, odds and everything else about the horse race https://t.co/6SDuqSRpPJ",
347,-0.6115,0.222,0.778,0.0,FOX,".@POTUS: ""The U.S. press is very dishonest, much of it, not all of it."" https://t.co/wRY77Xrqxz",
348,0.0,0.0,1.0,0.0,FOX,U.S. Markets - So far this year. https://t.co/dXBWkXeAc2,
349,-0.7088,0.269,0.731,0.0,FOX,.@SteveHiltonx: Trump’s criticism of G-7 is ‘unprecedented’ scream the elite -- That’s the whole point of Trump! https://t.co/ZwoJG4yXGb,
350,0.0,0.0,1.0,0.0,FOX,President @realDonaldTrump is on his way to Singapore for a historic meeting with North Korean leader Kim Jong Un.… https://t.co/f5vz9YYXXE,
351,-0.4767,0.256,0.744,0.0,FOX,"Florida woman's body found after gator attack, officials say https://t.co/5zyQqG9a32",
352,0.0772,0.0,0.933,0.067,FOX,".@kayleighmcenany: ""Where are the feminists, also, I want to ask - where are the Elizabeth Warrens, where are the H… https://t.co/6cSwtVG0OG",
353,0.3818,0.0,0.729,0.271,FOX,"President @realDonaldTrump promises ""America First"" throughout 2016. https://t.co/loUFH6m9i3",
354,0.0,0.0,1.0,0.0,FOX,German Chancellor Angela Merkel speaks with President @realDonaldTrump during proceedings on the sidelines of the o… https://t.co/3ObHBAyhun,
355,0.4939,0.0,0.775,0.225,FOX,"Moments ago, President @realDonaldTrump praised the prime minister of Italy, @GiuseppeConteIT. https://t.co/xR842BvOcu",
